WorkerID,WorkerName,Skills,AvailableSlots,MaxLoadPerPhase,WorkerGroup,QualificationLevel
W001,Worker W001,"java,excel,sql,design","[1, 2, 3, 4, 5]",2,Z,Mid
W002,Worker W002,"excel,ml","[2, 3, 4, 5]",3,Z,Senior
W003,Worker W003,"ml,sql","[1, 2, 3, 4, 5]",3,Z,Junior
W004,Worker W004,"sql,python,excel","[1, 4, 5]",1,X,Mid
W005,Worker W005,"project,excel","[1, 3, 5]",1,Y,Senior
W006,Worker W006,"java,sql,ml,design","[1, 2, 4, 5]",2,Y,Senior
W007,Worker W007,"java,ml,python","[2, 4]",1,Z,Mid
W008,Worker W008,"java,excel,sql","[1, 2, 3, 4, 5]",2,Y,Junior
W009,Worker W009,"project,sql,design,python","[1, 3, 5]",1,Z,Junior
W010,Worker W010,"design,project,python,java","[1, 2, 3, 4, 5]",2,X,Senior
W011,Worker W011,"project,excel","[1, 2, 3, 4, 5]",3,Y,Senior
W012,Worker W012,"java,project","[2, 3, 4]",1,X,Junior
W013,Worker W013,"sql,project","[1, 2, 3]",1,Z,Senior
W014,Worker W014,"java,ml,python,excel","[2, 3, 4, 5]",1,Y,Senior
W015,Worker W015,"python,excel,ml","[1, 2, 3, 4, 5]",1,Y,Junior
W016,Worker W016,"design,java,sql,python","[1, 2]",1,X,Mid
W017,Worker W017,"sql,ml,java","[1, 2, 3, 4, 5]",1,Y,Junior
W018,Worker W018,"sql,java,design,ml","[1, 2, 3, 4, 5]",1,Y,Junior
W019,Worker W019,"design,project","[1, 2, 5]",1,Z,Senior
W020,Worker W020,"ml,sql,excel,project","[1, 3, 4]",1,Z,Senior
W021,Worker W021,"design,ml","[2, 3, 4]",1,X,Mid
W022,Worker W022,"java,project,sql","[1, 2, 3, 4, 5]",2,Z,Mid
W023,Worker W023,"java,design","[1, 2, 3, 4, 5]",3,X,Mid
W024,Worker W024,"excel,project,sql","[3, 4, 5]",1,X,Junior
W025,Worker W025,"ml,sql,excel","[1, 2, 3, 5]",2,X,Mid
W026,Worker W026,"python,java,excel,sql","[2, 3, 4, 5]",2,Z,Senior
W027,Worker W027,"design,sql,project","[3, 4, 5]",1,X,Mid
W028,Worker W028,"ml,design","[1, 3, 4, 5]",1,X,Junior
W029,Worker W029,"excel,design","[1, 4, 5]",1,Y,Senior
W030,Worker W030,"project,excel,java,sql","[2, 5]",1,Z,Senior
W031,Worker W031,"design,sql","[1, 2, 3, 4, 5]",3,Z,Senior
W032,Worker W032,"excel,python,ml","[1, 2, 3, 4]",1,Y,Mid
W033,Worker W033,"excel,ml","[3, 4]",2,Z,Mid
W034,Worker W034,"sql,design,project","[1, 2, 3, 4, 5]",2,Z,Mid
W035,Worker W035,"sql,ml,design,project","[1, 3, 4]",1,Z,Mid
W036,Worker W036,"design,ml,excel,python","[1, 4]",1,Z,Mid
W037,Worker W037,"sql,java,excel,project","[1, 2, 3, 4, 5]",3,X,Junior
W038,Worker W038,"sql,design","[1, 2, 5]",3,X,Senior
W039,Worker W039,"design,sql,python","[1, 5]",3,X,Senior
W040,Worker W040,"sql,design,project,python","[2, 3, 5]",1,Y,Senior
